,0
75,"*I will not be 'cheering' in 2020 for Lewis Hamilton, who has **-subjugated-** coerced his MercedesTeam (40,000+ Slaves/Unpaid Forced Labour during WW2) to Paint his car BLACK, and no doubt this coming weekend (4th/5th July) the Drivers and maybe others will be performing the stunt of **_'Taking The Knee'_** and demonstrating F1's support for 'Black Lives Matter' - KEEP POLITICS OUT OF SPORT. BLM is an Evil Anarchist organisation whose primary aims are to Defund the Police, Abolish Prisons and release all Inmates and endeavor to topple 'Capitalism' and that's just the start. In the meantime Lewis can isolate in Switzerland, Monaco or many other locations, although no doubt states Monaco as his principal residence as totally TAX FREE. Note pays not a single penny in UK Tax where he grew up and offered him this great opportunity. Current Worth at least $285 Million in spite of spending many Millions on properties around the World. Please Lewis look up on your free 'SmartPhone' BLM Website' what this stands for and like Keir Starmer and the UK Premier League have just realised.*"
76,@Alnitak déjà vu
77,You're so fucking stupid i'm not sure i could get through to you.
78,Literally no one asked
79,where is ricciardo's overtake on hulkenberg?
80,Watching this 2017 British GP highlights waiting for Sunday in 2020 🏁🏁
81,@A Bored Person yup i already know that.
82,Did you know something we didn't?🤔🤔🤔🤔
83,"I find it hilarious that this is such a big thing that people watch.  
And who am I?  I am people too.  I f*ing love it|!"
84,"2 non skippable 15 second ads to watch this.....suck my dick, yt"
85,"NOOOOOOOO Hamilton
YESSSSSSS VERSTAPPEN"
86,"Palmer: out before even start

Karma: *giggles*"
87,no not the lh
88,2:08 Leclerc in the center
89,"What a drag for Jolyon Palmer!!! What was the problem? Renault, wth? Never seen the DNS (did not start) designation before... weird!!!"
90,"Awww, Niki."
91,44
92,The Torpedo.
93,"6:10 
You can see me trying to get a glimpse of the podium celebration!!😂"
94,"🔥 
 🏁🏁🏁I recommend that you look through to the end🏎️🏎️🏎️ 
 1:44 💛💝🧡 
  👇 👇💟"
95,F1 is boring. All the same car ..
96,*2:09** U can see Leclerc*
97,and kvyat isnt gets kicked from f1 lol
98,"que pesadilla Ham, va dónde va son los mejores fans, cómo los payasos que dicen siempre que son el mejor público del Mundo"
99,2.09 leclerc
100,joyilon spins out before race  starts also joyilon gets out of car commentator a aborted start
101,Minimal talking.
102,Gtßuatez
103,😚🐒frsuarez
104,Okrgfrsuarft
105,"HAMILTON DID A GREAT JOB . 
BOTTAS ON ONE HAND FOUGHT FROM THE BACK TO 2ND . AWESOM!!!"
106,'the back'    dude plzzzz he was 9th.
107,2019 here?
108,Well I've started watching F1 recently..... Can anyone tell me where was charles Leclerc in 2016-17?
109,In F3 and F2
110,"LOL, at 2:09 you can actually see Charles Leclerc in the background inside Ferrari's box. Grew up just fine!"
111,Lol
112,The ferrari drivers took their tires out of the race # timepenelty
113,"4:19 ""Puta madre..."""
114,Meu sonho é ver uma corrida
115,4:12 lockup Vettel😂😂 (British GP 2019)
116,Good  job  hamlton
117,WHY IS IT THAT YOU ALL DO SHOW ANY RACES OR HIGH LIGHTS FROM THE 2015-2016 F1 SEASON?
118,2:09 leclerc was here
119,0:25 Max Verrstappen juuling with Sebastian Vettle
120,You guys need to watch this the newest Ford v. Ferrari movie trailer https://youtu.be/99svIhSWqfM and support me thank you
121,Loved seeing lauda in the pits again. RIP
122,"Lewis was first
Bottas was fourth
Ferrari double puncture
Mercedes 1-2."
123,4:50 anyone hear Paul Di resta say the tyre is fucked
124,Go vettel go vettel 😤😤😤😤
125,"Hamilton legend 
Jawa timur 29 juni 2019"
126,"Haha, karma hit vettel hard this race"
127,Chris keep crying.
128,Some say there was an air rifle toting Mercedes ultra fanatic hiding between the grandstands on the old pit straight....
129,This is the best grand prix I’ve seen today
130,"""he was in 6th place... he is in 5th place""
hahaha that commentary"
131,god i love lewis's 2017 helm
132,This is gonna be great 2019
133,*5:45** The legend NIKI LAUDA... R.I.P GREAT CHAMPION !!!*
134,Whoever was behind Palmer must of had a good start
135,Winning at home under pressure yep let the national anthem play Lewis let it play till Vettel knows it by heart
136,Did you guys see at 5:45 niki lauda
137,So much more pleasant without the halos..
138,I favourite pilot is Ricciardo
139,"something about F1 racing just doesn't seem fair.

Why are the mercades cars so much faster (powerful).

And does anyone notice how many ""coincidences"" there are.... like both of ferarri's wheels going out like that at the same time. I've seen this happen with engine parts multiple times....

Is it just more likely that the issue that happens on a car will happen on a like car? Is it cuz the team works on both cars and fucked the same thing up in each due to doing exactly the same to both!?

Why do certain teams at the top never seem to have these issues like others do."
140,Niki Lauda at 5:45
141,R.I.P Niki...
142,Kimi was awesome this weekend. Owned Seb in quali and race and blocked Verstappen masterfully at the start. Shame about the puncture.
143,"Honda engine shoukd be ban, they are fucking worst"
144,"6.17 Valtteri’s legs are shaking, he almost fell of the podium😂😂"
145,Anyone else notice Mcqueen and Storm in the pit lane?
146,Palmer😂
147,Mercedes Planted Spikes for the Ferraris
148,Congrats to Lewis Hamilton 😎🤩😘
149,2:26 look at vettels hand
150,I saw niki loada
151,Video Frumos
152,You couldn't even turn up on the streets to entertain your home fans. Where were you? Partying abroad!
153,"max needs to tone it down a lot, complains about drivers doing what he does to them"
154,Ricciardo is the real legend!!! Fuck Hamilton and fuck his rich team...he s so happy for all his winnings but he is shit...in reality his car is winning for him..I drive better than Hamilton...
155,4:12 vettel cut the corner
156,REDEMPTION!!!!  Even with the specially designed Mercedes tyres Vettel is the faster driver!!!  *******  FIA!  Forza Ferrari
157,Who's watching this just to watch the 2018 grand prix highlights?
158,Best fans only when Hamilton wins 😂 He forgot his best fans when he got P2
159,"Things have changed a bit, one year later :P"
160,THANK GOD!!!
161,Grosjean crash ........not today ⏳
162,RK 22 oh yes
163,"""minimal talking"""
164,"I don't know why people say that it is great drive by someone who recovers from down the grid like ricciardo did. He has a fucking fast car. Of course he's gonna recover those lost positions. If he was able to do that in a car other than that of the top teams then it would've been commendable. Put him in a Mclaren and then see if recovers those positions or not. Everytime I see something like this, it makes me mad."
165,Hater.
166,Cri Haas didn't deliver after a Q3 showing. Come onnn guys.
167,I miss the old days there somebody else as Hamilton could win...
168,#blessed
169,Who else is watching this before the 2018 Silverstone GP?
170,So did u watch this race after british 2020 grand prix
171,im watching this before the 2017 season...
172,"4:20 you can read ""puta madre"" off of Arrivabene's lips 😂😂"
173,omg the cars look so much different now without the halo
174,@Nixer Doyle I do agree. My additional comment was simply an Asterix for whoever may have believed it to be an issue.
175,"@Chris K In three seasons the _one_ potentially reasonable criticism of the halo before its introduction -- impeding driver visibility -- has not once been reported. And it's saved at least one life, for sure. No halo and RoGro would've been killed. It's highly likely that if it hadn't been for the halo, Charles at Spa in 2018 would have suffered life-changing injuries at the very least."
176,"Grosjean would not survive in Bahrain, if there was no Halo..."
177,I might be the odd one out but I actually love the accent the halo adds to the car. It's unfortunate that it hampers the visibility though but the safety benefits are undoubtedly important.
178,1:11
179,WTF happened to Ferarri tyres.
180,Crashes and failure are not the highlight... Overtakes and brilliant moves and fastest pace are...
181,BASTARDS!!!
182,เเรงสุดๆไๆๆ
183,Oh poor Nando
184,4:11 What Caused the Puncture
185,Look how verstappen  cut the corner
186,ha ha
187,This race destroyed vettels huge advantage.This is Formula1 people
188,Ferrari has goodluck lol
189,What a ridiculous team radio messages of Hamilton
190,"Kimi - ""F**k, my left front tire, it broke"" LOL"
191,Kimi is the king of team radios!!!
192,it’s lights out and away we go- commentator
193,"All I want for Christmas is a ""Crofty stop SHOUTING"" kit"
194,We have got the best fans here! xD
195,Jhgvc. C
196,Carrera muy rara para Ferrari
197,Very pity Carlos Sainz with his crush of car.
198,What a boring race nothing special about that
199,Valtteri Bottas wins the British Grand Prix!
200,Hamilton makes me laugh he said the British are the best fans but then at monza he says the Italian fans are the best guys so fake man
201,Monza fans are obviously the best... Hamilton is a prick as he always is
202,Amazing!!!!
203,"Ferrari poor strategy
it boemerang to them"
204,Di Resta is the best
205,Best race of the season... but I might be biased being British
206,q ac
207,Some mercedes fan stabbed ferraris front lefts when noone was looking
208,"https://pasteboard.co/H5wanv7.png

How is this not a corner cut(2:27 by vettel)and in USA max was a corner cut? FIA=ferrari international assistance confirmed"
209,"Bottas fan here, that was an awesome 1/2 punch for my favorite team on this day👍👍👍👍👍👍👍👍👍👍👍👍👍👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏"
210,What was Nikki Lauda @ 5:45 doing in mercedes team not ferrari? am i missing something?
211,You haven't been following F1 for a long time have you?
212,CROFTY'S CRACKING VOICE IS THE BEST.
213,Verstappen doesn't care where the track is
214,at 5:44 is Niiki lauda
215,RICARDO!!!!
216,Verstappen 18yo and has more balls than everybody
217,Wow the fans were great at Silverstone
218,Lewis Hamilton is the GOAT
219,is that woody harrelson? 2:08
220,201^8 will be crazy! Hamilton vs Vettel
221,2:10 dude is that Woody Harrelsson
222,FOR LEWIS
223,AND THE CHEERS AGAIN LIKE SINGAPORE
224,DID YOU HEAR THE CRUNCHING OF THE PUNCTURE
225,2:34 is that Tim peake
226,COTS OR COPS CORNER
227,2:08 Is that Woody fucking Harrelson?
228,Is Lewis unbeatable?
229,c'est fabuleux.
230,If Verstappen keeps it up one day he is going to be world champion....a very exciting driver
231,"Vettel pushed Verstappen off the track, so Verstappen did the same thing to Vettel the next corner, but apparently Vettel was not happy about it. LOL"
232,The real winner is Ricciardo!
233,Why is the Honda engine so shit?
234,How many times have i heard nandos engineer
235,don't think raikkonen was happy with third 6:11
236,5.45 Nicki Lauda
237,The entire stand at Luffield pissed themselves laughing when Palmer pulled over.
238,Add this to Formula 1
239,I was there
240,невезуха))
241,Palmer is shit.
242,"""Minimal talking"" - yeh you need maximum concentration to finish ahead of two guys with punctures?!?"
243,Мерседес супер
244,Haha BOAT A$$ go Ferrari!
245,Es hat Zeiten gegeben da waren die Fahrer fix und fertig auf dem Podium! Und hier rapt Hammelton aufs Podest und ist frisch und munter. Soviel zur anstrengenden neuen Formel 0 (äh)1.
246,4:12 heavy braking 5:10 easy loosing
247,Thank God Verstappen didn't finish 18th
248,The commentator made me enjoy this more than I should've haha
249,"Not interesting, seen from the viewer just not many who want to watch"
250,the Somalian won what a shame
251,Thanks for the upload mate 👍👍👍👍👍👍👍👍👍👍👍👍👍
252,Of course the ferraris break down
253,What track is this?
254,"if Hamilton pole win fastest lap and lead every lap in next race mean Hamilton same the Ascari , Clark , And Vettel record is consecutive grand chlem  , same Ascari and Schumacher record is most top trick in a season and same the Schumacher record is most pole position"
255,always get less views when mercs win.
256,http://pelopinxo97.blogspot.com.es/2017/07/mi-parrilla-de-formula-1-perfecta-para.html
257,Indonesia
258,"I dont like F1. No overtake,no slide,no burn diskbrake. No rear whell streering. Boring race. I like  motogp."
259,Beiber  won
260,Who's that guy always screaming from commentary box? Fun..ing enjoying voice
261,"Enginer : Great job !
Bottas : Minimum talking !

...lol..."
262,You should start posting full qualifying and races like the WEC and Indycar does (and many other race series).
263,"""Great job!""....
""Minimal talking"" 
Savage af😎"
264,Belgium 2015 4 vettel again
265,Good!
266,McLaren needs to drop Honda already....
267,Vettel is getting out of hand. He is driving like an absolute fucktard. He doesn't give a shit about rules.
268,It's hammer time
269,"It's a bad day for Ferrari, but he's always strong, they want to stop Ferrari every year."
270,#nohalo
271,Good race... great drive by Riccardo... but sometimes its the car not the driver... can you imagine winning by driving McLaren or William or Toro Rosso .. even if its driven by Vettel or Lewis (unless all other have some inncident)... motogp has 9 different winner last year.... f1 show be more on raw skill and restrict their RnD....
272,l love this British Grand Prix.
273,i see you out there shaking that ass
274,Qu
275,Round the inside round the outside... boring commentator. I miss James Allen!
276,What an awesome race. This season has been the best formula1 battle in years. Bottas is becoming a beast. Bottas vs. Ferrari here was classic.
277,yeeeeah
278,LET'S GO HAMILTON!
279,"in all seriousness, can I just say, The engines in the mclarens are a disgrace.. Honda should be ashamed of the power unit they have supplied.... in my opinion worst engine I can remember in the 30yrs I've watched f1!!!"
280,David Croft is the best commentator of world in all sports. This guy is amazing!
281,Bottas it will be the 2017 champion  !  He is better than all this drivers
282,Hahaha a puncture for Ferrari great job :D
283,Square Christian report venture discovery civil crack land dust.
284,"3:10 Who could've expected that? Out of the blue, thats for sure"
285,Ojalá este año estuviera HRT (Hispania Racing Team) compitiendo.Cuanto nos íbamos a reír todos
286,what a fantastic weekend for Mercedes
287,"max is a hunter and Always firework amazing, he is the MAN IN F1"
288,"Vettel:
50% Waving hands
49% Bitching and swearing
1% Ping Pong"
289,Verstappen was what ultimately killed Vettel's chances of getting close to Hamilton in the race. That overtake wrecked Ferrari's strategy and led to a load of events culminating in excessive tyre wear and that blow out.
290,"LOL.
When Lewis gets old, he will be one of those old guys who says 'God bless you' at the end of every sentence."
291,"Ferrari started the season well, but they have clearly been out-developed by mercedes. It seems clear to me now that mercedes has the better car, seeing how they have won three of the last four races and have 8 of the 10 pole positions this year. You cant hide anything in quali, thats what shows the pace of mercedes. Hopefully ferrari can come back the second half of the season cuz id like to see someone other than mercedes win the championship again."
292,"...and he is... The Most Aggressive Driver in the World! Bottas that is - drove the tires right off the Ferrari's.
We were told this new season with the new tires and faster {electric} drive would be exciting and it sure is! A bouncy bumpy ride."
293,should have included Hülkenberg's overtake on Ocon as well
294,VETTEL THE BEST IDIOT EVER.
295,"Those who said that ham out qualified in his rookie season. 
Don't you guys don't know later what happened? 
2009-  Alo 2, ham 4
2010-  Alo 2, ham 4
2011- Alo 4, ham 5
2012- Alo 2, ham 4
2013- Alo 2, ham 4. 
Your shit driver out qualified by ham many times both r in top teams. Your ham just a 4th grade driver. He is only enjoying all the wins because of highly advanced merc team.
What ever poles he scored or wins he get no one cares. A driver like nico bottas winning with that car. And he he feels like god of f1 and totto feels like his team is a divine and he is monarch. Fuck you arrogant ham fans. Your driver is just a 4th grade driver. Don't even compare him to greats like senna it's a big insult to them."
296,"Filip Lalovic Really then why you fans overreact for your 4th grade driver. He utters all the shit and you support it. Ok if your ham really have that much stuff then tell him to score a pole with that mclaren. No he can't do it mate. I hate him because of his fans treating him as god and others as shit. And whenever a argument comea they say 2007 he beat alonso. Ahh what about the 2009, 2010, 2011, 2012. Both are in top teams. Get lost man. You people hate other driver more than we do. Blinded  with hamilton fanism."
297,"abhiram muttavarapu Jeez stop with all the hate. Do you actually support anyone in F1, or just live to hate Hamilton because he's British and you're not? 

We can compare him to Senna as he has already won as many WDC'S (possibly more after this year) and has already beaten him in Poles and will most likely hold the all time record for pole positions at the end of the year.

Furthermore, he has won a race every single year  in his career (even when his cars have not been championship material), no one else on the grid right now can make that claim. He has more wins outright than anyone else who is on the grid right now to top it off.

I feel I have countered your hate sufficiently now with rational arguments backed up with facts, but please be respectful to all drivers on the grid. Having a respectful debate will make others consider your argument and maybe even agree with you. Life is too short to be blinded by rage."
298,Are the Ferraris front limited on tracks like Silverstone?
299,"I just reached a P1, sorry for the race, but I still like my orange colored car."
300,Man I just have this feeling that Ferrari will bounce back and win in Hungary.
301,Were is stoffel in this vid?
302,"im just now getting into car racing and stuff like that, not just F1, and this is super awesome but i know next to nothing about it all"
303,"Sebastian Vettel believes Mercedes' pace in qualifying sessions is a 
""gamechanger"" in the 2017 Formula 1 championship fight at the moment.The Ferrari driver saw his lead over Lewis Hamilton cut from 20 points to 
one in the British Grand Prix, which Hamilton won comfortably from pole 
while Vettel slipped back to seventh due to a late tyre failure."
304,awesome season so far.
305,Ferrari is very unlucky team
306,Please let us add subtitles in our countries' languages!
307,I can feel f1 is becoming boring back again with mercedes dominating
308,My car refuses to work with such a noob in the seat. She knows master is coming back :)
309,how's Max not driver of the day? did anyone see his battle with Vettel early race?
310,Is it me or does better keep pushing cars off the track
311,the english commentary is so funny :D Lights out and away we goo!!!
312,bwoah..
313,I thought the drivers were calling kvyat a tall pedo and not torpedo so I've been going around laughing the whole weekend every time they call him torpedo thinking their calling him tall pedo 😂
314,"Me & My girlfriend were there for My 4th GP. Amazing race, incredible atmosphere. Lewis winning gives the place life! Unbelievable. 😌"
315,"what about....








A L A I N"
316,Lewis Hamilton 4 Time world champion 2017
317,"I feel like Alonso just retires the car whenever he wants to just to make a point to Honda he dont like them. If he wants to pee or he just dont feel like racing in an underpowered car. All he had to say is, no power."
318,The tires have once again played an important role
319,Wanna hear a joke- McLaren's F1 team
320,The commentary from David croft is shocking!
321,xadrez que a
322,I hope Fernando gets a good car next year.
323,I want f1 drivers to sing despacito 😍😂
324,"It looks like Vettels tire get's damaged when he brakes late, there is like a black patch  @4:13"
325,Lewis has Luck 😒😒😒😡😡😡 Forza Seb 🤗
326,McLaren really needs to ditch Honda...
327,red bull where is ur 1.92 sec pit stop now ? lol
328,again idiot verstappen do his stupid things
329,man this new Honda engine it's a peace of shit......... Alonso must be feeling revolted!
330,"Ferrari needs to step up their development game. Especially engine. It won't matter what they do with aero if mercs have 15-20 more hp every single lap. Also let's not forget them flipping a switch in qualy and getting 30-40 hp up on Ferrari. 
Come on!"
331,"Sometimes I wonder why do I bother to watch such a 'shitty' race where the top 3 is either Mercedes or a Ferrari whereas the remaining teams are ""FUCKED AWAY into the wilderness of mediocrity""."
332,"Kimi and Joelyn really have some rotten luck, but a great day for Lewis and a brilliant drive by Bottas. 

Get well soon Martin Brundle."
333,Kyvat on the way to becoming the new Pastor Maldonado
334,Hamilton is the best damn driver of all time.
335,Hamilton semplicemente perfetto. Aiutate Alonso a fare una gara intera. Ferrari sfortunata
336,What a great track and what a great race! 🏁 we need an home grand prix for vettel again. Bring back the Nürburgring 🇩🇪
337,Ferrari should back Kimi & not Vettel. Vettel doesn't know how to overtake properly!
338,#KEEPSILVERSTONEONTHECALENDAR
339,#LONDONGRANDPRIX
340,Get better soon Brundle!
341,"The ironic comments from the crowd were so funny when Jolyon broke down. Some guy in Luffield shouted *""No, not Jolyon. For the love of God!""* 😂"
342,go BENZ!!
343,i think ferrari's tyre is being SABOTAGE
344,"Hulkenberg is turning into anther Kubica, his performance this season is similar to the one Kubica put in 2010"
345,"""Great Boring"" delivered once again 😉"
346,"Wonderful Hamilton (rockstar), Bottas and Raikkonen ...."
347,"Best driver of the race is Daniel, never give up man!"
348,"Ricciardo may not have the fastest car, but gee, he can drive."
349,what a crazy weather!
350,"I can't understand Vettel complaining about moving under braking, when the ban for this has long been lifted. 
And well done to Verstappen for paying him back when Vettel pushed him off the track :)"
351,"Here's a joke:

36 laps on soft tires in Siverstone."
352,"The torpedo strikes again!

Gutted about Kimi's bad luck, he deserved P2 this time :'-(

Ricciardo a well deserved driver of the day!"
353,"ferrari's punctures were a huge cock blocker for me, believe it or not... my girlfriend's dad was so angry about it, he started shouting all over the house and we got in an argument. i had to leave my girlfriend's house and so there was no ""gap to commit"" to. i had to call my ex gf, she is something like my ""right hand"". she wasn't bad for a number 2 at all"
354,Does Crofty increase by a decibel between every race?
355,"Suck that up, Vettel! Excelent job, Kimi! The greatest driver that Ferrari have these years.

Lewis and Valtteri... You guys are amazing! Go go, Mercedes!

It is so nice to see two Finns at the podium, and Lewis in first place at Silverstone! Hope this same podium happen again next year!"
356,"There's a lot of talk now about Ferraris line up next year.  Many saying either Vetstappen or Ricciardo.

Do you really think either one will want to be no. 2 to Vettel?  Ferrari always have a no.1, which is Vettel.

I can only see Perez going to Ferrari.  He's a bitch.  He'll fit in well!"
357,"even though ferrari was not in first place, it reminds me of lemans 2016 with toyota, failure in the last lap"
358,"i'm wondering what happened with the engine when alonso said ""no power"""
359,formula one is back !! <3
360,Nice Race👍
361,fucking pirelli
362,The torpedo should be sent back to Russia and stay there forever 👎
363,Ma porcoddio
364,Karma strikes Ferrari.
365,"As bad as I may seem I really believe that if Ferrari didn't have the shitty luck they had today, the race could have possibly been a 2, 3 for Ferrari. I think kimmi  and vettel, as bad as things seem, are an amazing team together. And I feel like they should have gotten higher positions today but i guess luck was not on their side..."
366,Mercedes supremacy SADLY
367,Good drive by Ricciardo!
368,I miss the Formula 1 of the beginning of the century and the end of the last one.What is this here?DRS? What a joke.The cars sound so horrible. And they also look so ugly.I stopped being a fan of Formula One.
369,"Well...personal tastes are different, aren´t they."
370,VyraFall they look great!
371,I really dislike Vettel.
372,forza ferrari
373,From what channel are this speakers? xD
374,"FINALLY Verstappen finished a race !
And Vettel, you got that Karma man, well deserved"
375,"If Verstappen didn't pit stop at the end of the race, he would have been third ;("
376,"Skillz 
Yes true👍 but, I don't think he had a choice in the matter. Crazy race..."
377,Riccardo awesome drive
378,Kvyat cannot play bowling.
379,"by far the best race of the season ..loads of passing etc and they want to get rid of the British grand Prix ???? someone's got a screw loose !!!!!@##%%""#'"
380,Dan Ricciardo 🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺
381,Mmm
382,I wonder if Vettel would have survived if he had not suffered that huge lock-up when Bottas was chasing him.
383,I loved and hated this race because Kimi's puncture
384,go go hamilton!!!!
385,Alonso don't deserves such a shitty team like McLaren-Honda.
386,"Ferrari won't win this year, so do you want to win next year?==> FERNANDO ALONSO first pilot of Ferrari... Fuck off Mercedes!"
387,Balnazzardi jajajajajaja too laught you
388,"Well too bad for you, but Marchionne clearly stated that there is no room in Ferrari for Alonso :D....Ferrari will most likely continue with their current line-up for 1 more year, then try to get either Ricciardo or Verstappen as Vettel's team-mate for 2019."
389,Kvyat master :D
390,V6😤
391,1:46 See you later
392,Why does Ferrari have to shit on Räikkönen? He's a lot more cool-headed than Vettel.
393,This is the first race that I wasn't able to watch live in years.  So this highlights video is great & I love it!  Thanks.
394,shut leclerc be in kvyat's seat
395,...what about Verstappens late pit stop for tires ??
396,vettel😣
397,"I love the fact that the official channel of formula 1 must speed up the video to avoid the strike by the bots i guess 
Thanks Youtube"
398,"The winner is always predictable. When Hamilton gets pole, you don't need to watch the race because Hamilton always gets faster and faster every lap. The gap between all teams is too big. Mercedes is just too fast. The overtakes were too easy with the help of DRS.👎👎👎"
399,日本人いる？
400,Квят лузер
401,Hope max goes to Ferrari next year.  Max and Vettel in the same team!
402,"""minimal talking"" haha, this guy is slowly becoming my favorite."
403,"Honestly: That one lap here, Vettel needed in Austria :D"
404,Carlos Sainz being the beyblade this race....
405,"alonso with honda engine, same shit different gp"
406,Fuckin Ferrari man damn tire puntures
407,"MERCEDES: Hey Pirelli we'll give you huge amount of $$$ by just supplying shit tyres for Ferrari
PIRELLI: Say no more."
408,That was a fucked race!
409,Where is the interview of Sebastian Vettel?!
410,Honda sucks
411,TORPEDDDOOOOOOO!
412,"Vettel was stupid, he should have entered the pits the moment his tyre burst instead of going round another lap like he did dragging his front."
413,those cornering speeds this year though
414,"I'm not exactly sure why Vettel had his hand up when Verstappen shoved him wide, but it's okay for Vettel to do it to him. I think it's a racing incident."
415,i just stopped watching the race at L47 then this bad luck happen at least kimi finish in the Podium
416,idk if I've ever seen a DNS before 😂
417,Vettel's puncture came on the same tyre that he locked up massively on lap 43
418,"Shenanigans afoot at Silverstone:

Alonso launches an engine (par for the course at this point).
Verstappen proves he still drives while suffering from cranial-rectal insertion.
Kimi on podium (BWOAHH!!!).
Ham-ster closes the Championship gap before heading into part 2 of the season.
Ferrari clearly got ahold of tires meant for McLaren."
419,this race for not too many crashes was exciting and entertaining due to the amount of sick overtakes!
420,"I dont think ferrari can match 
Mercedes anymore i think vettels championship campaign might be over"
421,fuck Hamilton
422,Sensational drive from Ricciardo!!!!
423,Very good race .
424,"What are we doing here? ping pong, bowling, torpedo, bumper car, BOAWHH, no power, stop talking, do you copy or fck Charlie"
425,kvyator
426,"Not that long ago Kvyatt was the 2nd Red Bull driver, now he's the next maldonado lol"
427,"LOOK AT KIMI EMOTION 
lol"
428,All the Ferrari fans blaming the tires. Lol
429,"Kimi doesn't waste words ""My left front tyre is broke"""
430,The lockup of VET defending against BOT damaged the tire and cost him the podium; https://youtu.be/t0WHNqwDjXc?t=4m11s
431,"F1's comment section is cancer it's all old ass memes


Honesty 😂😂 jk jk"
432,"put max in good team, redbull is rubbish."
433,Max is rubbish too.
434,Where are the Vettel fanboys? Too busy crying huh.
435,Where is Stroll?
436,Dude someone is fucking with ferrari or their luck is really FUCKING dry right now.
437,"Kimi in podium be like : ""Bwooaah, I don't have idea what I'm doing here."""
